"Table 3: Alcohol-specific deaths (new National Statistics definition) by age-group and average age at death: registered in Scotland, 1979 to 2019",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Age at death,,,,,,,,,,,,,,,,,,,,,,
,All ages,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+,,Average age,
,,,,,,,,,,,,,,,,,,,,,,,
Year,,,,,,,,,,,,,,,,,,,,,,,
1979,389,0,0,0,2,0,5,7,23,44,63,63,70,42,34,22,9,3,2,0,,54.2,
1980,369,0,0,0,0,2,10,15,23,38,41,58,60,55,41,16,9,1,0,0,,53.9,
1981,348,0,0,0,0,1,7,10,18,33,43,54,66,50,35,19,10,2,0,0,,54.7,
1982,355,0,0,0,0,1,2,11,12,42,40,48,68,55,43,24,7,1,1,0,,55.7,
1983,351,0,0,0,1,2,5,11,18,29,39,62,53,61,37,22,7,4,0,0,,55.2,
1984,369,0,0,0,0,1,10,18,19,29,50,47,60,63,38,21,11,2,0,0,,54.7,
1985,395,0,0,0,0,3,5,9,23,27,49,58,77,60,54,20,5,5,0,0,,55.5,
1986,384,0,0,0,0,6,7,10,34,30,37,55,69,57,45,19,8,7,0,0,,54.7,
1987,384,0,0,0,1,1,9,9,19,27,46,67,54,59,53,20,14,4,0,1,,55.9,
1988,427,0,0,0,0,4,8,19,26,34,50,52,63,74,69,15,10,2,1,0,,54.8,
1989,449,0,0,0,1,2,4,9,20,45,52,64,84,69,54,34,8,2,1,0,,55.8,
1990,436,0,0,0,0,4,6,8,37,48,61,60,64,63,46,23,8,4,1,3,,54.4,
1991,431,0,0,0,0,1,2,13,42,44,63,50,62,53,40,32,18,9,2,0,,55.2,
1992,410,0,0,0,0,3,2,10,31,39,60,47,63,65,44,24,13,9,0,0,,55.4,
1993,451,0,0,0,1,2,5,12,27,45,59,74,59,58,54,35,10,6,3,1,,55.5,
1994,550,0,0,0,1,2,7,19,33,60,74,67,86,84,67,33,11,4,1,1,,54.9,
1995,627,0,0,0,1,3,3,22,26,56,88,98,97,102,63,42,18,4,4,0,,55.6,
1996,775,0,0,0,0,3,1,16,47,79,104,124,129,108,82,50,24,8,0,0,,55.5,
1997,861,0,0,1,1,4,6,22,51,104,126,135,117,105,100,53,25,6,5,0,,54.8,
1998,915,0,0,0,1,2,8,18,48,104,123,175,149,112,84,52,25,7,5,2,,54.9,
1999,"1,021",0,0,0,3,5,11,37,67,94,143,174,153,136,92,63,32,7,3,1,,54.4,
2000,"1,144",0,0,0,1,2,15,34,62,108,149,193,193,165,105,68,37,8,4,0,,55.1,
2001,"1,228",0,0,1,1,0,11,34,76,102,174,201,178,177,151,76,32,11,3,0,,55.5,
2002,"1,334",0,0,0,2,1,13,35,61,121,188,226,217,199,137,82,33,11,8,0,,55.6,
2003,"1,354",0,0,0,0,1,10,20,71,128,173,222,221,214,129,94,50,17,3,1,,56.3,
2004,"1,331",0,0,0,3,2,14,31,80,121,186,195,230,195,150,59,46,17,2,0,,55.3,
2005,"1,354",0,0,0,1,3,8,37,74,114,205,208,220,195,141,87,33,22,5,1,,55.6,
2006,"1,417",0,0,1,1,3,9,33,90,137,198,218,231,223,150,85,26,7,5,0,,55.1,
2007,"1,282",0,0,0,0,3,9,37,72,116,160,228,224,187,130,73,30,11,2,0,,55.1,
2008,"1,316",0,0,0,2,2,9,31,81,117,166,216,215,195,159,68,33,22,0,0,,55.7,
2009,"1,180",0,0,0,0,5,10,32,60,117,146,192,177,190,124,76,29,14,7,1,,55.7,
2010,"1,183",0,0,0,1,3,15,24,60,102,150,196,186,190,140,65,30,17,3,1,,55.9,
2011,"1,135",0,0,0,0,2,10,22,69,103,127,167,178,176,134,89,32,17,6,3,,56.6,
2012,968,0,0,0,0,1,13,28,44,73,125,131,148,163,127,58,32,15,8,2,,56.7,
2013,"1,002",0,0,0,0,3,8,29,44,88,124,168,160,143,110,64,39,14,5,3,,56.3,
2014,"1,036",0,0,0,0,1,10,16,49,77,137,154,167,142,129,79,51,20,2,2,,57.3,
2015,"1,045",0,0,0,0,0,9,21,33,69,139,150,173,151,143,84,47,20,6,0,,57.9,
2016,"1,139",0,0,0,0,1,9,21,29,81,119,175,181,175,160,88,61,30,9,0,,58.7,
2017,"1,120",0,0,0,0,0,10,25,37,53,123,159,186,161,184,97,56,24,4,1,,58.9,
2018,"1,136",0,0,0,1,3,4,15,46,71,112,146,207,157,155,121,57,26,11,4,,59.3,
2019,"1,020",0,0,0,0,2,9,21,37,69,108,136,164,148,143,102,43,23,14,1,,58.6,
,,,,,,,,,,,,,,,,,,,,,,,
5-year moving annual averages,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1979 to 1983,362,0,0,0,1,1,6,11,19,37,45,57,63,53,38,21,8,2,1,0,,54.7,
1980 to 1984,358,0,0,0,0,1,7,13,18,34,43,54,61,57,39,20,9,2,0,0,,54.8,
1981 to 1985,364,0,0,0,0,2,6,12,18,32,44,54,65,58,41,21,8,3,0,0,,55.2,
1982 to 1986,371,0,0,0,0,3,6,12,21,31,43,54,65,59,43,21,8,4,0,0,,55.2,
1983 to 1987,377,0,0,0,0,3,7,11,23,28,44,58,63,60,45,20,9,4,0,0,,55.2,
1984 to 1988,392,0,0,0,0,3,8,13,24,29,46,56,65,63,52,19,10,4,0,0,,55.1,
1985 to 1989,408,0,0,0,0,3,7,11,24,33,47,59,69,64,55,22,9,4,0,0,,55.3,
1986 to 1990,416,0,0,0,0,3,7,11,27,37,49,60,67,64,53,22,10,4,1,1,,55.1,
1987 to 1991,425,0,0,0,0,2,6,12,29,40,54,59,65,64,52,25,12,4,1,1,,55.2,
1988 to 1992,431,0,0,0,0,3,4,12,31,42,57,55,67,65,51,26,11,5,1,1,,55.1,
1989 to 1993,435,0,0,0,0,2,4,10,31,44,59,59,66,62,48,30,11,6,1,1,,55.3,
1990 to 1994,456,0,0,0,0,2,4,12,34,47,63,60,67,65,50,29,12,6,1,1,,55.1,
1991 to 1995,494,0,0,0,1,2,4,15,32,49,69,67,73,72,54,33,14,6,2,0,,55.3,
1992 to 1996,563,0,0,0,1,3,4,16,33,56,77,82,87,83,62,37,15,6,2,0,,55.4,
1993 to 1997,653,0,0,0,1,3,4,18,37,69,90,100,98,91,73,43,18,6,3,0,,55.3,
1994 to 1998,746,0,0,0,1,3,5,19,41,81,103,120,116,102,79,46,21,6,3,1,,55.1,
1995 to 1999,840,0,0,0,1,3,6,23,48,87,117,141,129,113,84,52,25,6,3,1,,55.0,
1996 to 2000,943,0,0,0,1,3,8,25,55,98,129,160,148,125,93,57,29,7,3,1,,54.9,
1997 to 2001,"1,034",0,0,0,1,3,10,29,61,102,143,176,158,139,106,62,30,8,4,1,,54.9,
1998 to 2002,"1,128",0,0,0,2,2,12,32,63,106,155,194,178,158,114,68,32,9,5,1,,55.1,
1999 to 2003,"1,216",0,0,0,1,2,12,32,67,111,165,203,192,178,123,77,37,11,4,0,,55.4,
2000 to 2004,"1,278",0,0,0,1,1,13,31,70,116,174,207,208,190,134,76,40,13,4,0,,55.6,
2001 to 2005,"1,320",0,0,0,1,1,11,31,72,117,185,210,213,196,142,80,39,16,4,0,,55.7,
2002 to 2006,"1,358",0,0,0,1,2,11,31,75,124,190,214,224,205,141,81,38,15,5,0,,55.6,
2003 to 2007,"1,348",0,0,0,1,2,10,32,77,123,184,214,225,203,140,80,37,15,3,0,,55.5,
2004 to 2008,"1,340",0,0,0,1,3,10,34,79,121,183,213,224,199,146,74,34,16,3,0,,55.4,
2005 to 2009,"1,310",0,0,0,1,3,9,34,75,120,175,212,213,198,141,78,30,15,4,0,,55.4,
2006 to 2010,"1,276",0,0,0,1,3,10,31,73,118,164,210,207,197,141,73,30,14,3,0,,55.5,
2007 to 2011,"1,219",0,0,0,1,3,11,29,68,111,150,200,196,188,137,74,31,16,4,1,,55.8,
2008 to 2012,"1,156",0,0,0,1,3,11,27,63,102,143,180,181,183,137,71,31,17,5,1,,56.1,
2009 to 2013,"1,094",0,0,0,0,3,11,27,55,97,134,171,170,172,127,70,32,15,6,2,,56.2,
2010 to 2014,"1,065",0,0,0,0,2,11,24,53,89,133,163,168,163,128,71,37,17,5,2,,56.6,
2011 to 2015,"1,037",0,0,0,0,1,10,23,48,82,130,154,165,155,129,75,40,17,5,2,,57.0,
2012 to 2016,"1,038",0,0,0,0,1,10,23,40,78,129,156,166,155,134,75,46,20,6,1,,57.4,
2013 to 2017,"1,068",0,0,0,0,1,9,22,38,74,128,161,173,154,145,82,51,22,5,1,,57.8,
2014 to 2018,"1,095",0,0,0,0,1,8,20,39,70,126,157,183,157,154,94,54,24,6,1,,58.4,
2015 to 2019,"1,092",0,0,0,0,1,8,21,36,69,120,153,182,158,157,98,53,25,9,1,,58.7,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
